BallSpeed,VLA,HLA,BackSpin,SpinAxis,Carry,Offline
2,18,0,200,0,0.05612335,0
2,18,0,400,0,0.05612335,0
2,18,0,600,0,0.05612335,0
2,18,0,800,0,0.05612335,0
2,18,0,1000,0,0.05611835,0
2,18,0,1200,0,0.056095954,0
2,18,0,1400,0,0.056068644,0
2,18,0,1600,0,0.056036152,0
2,18,0,1800,0,0.0559983,0
2,18,0,2000,0,0.05595492,0
2,18,0,2200,0,0.05591034,0
2,18,0,2400,0,0.055860016,0
2,18,0,2600,0,0.05580383,0
2,18,0,2800,0,0.055741727,0
2,18,0,3000,0,0.05567362,0
2,18,0,3300,0,0.055536885,0
2,18,0,3600,0,0.05538642,0
2,18,0,3900,0,0.055222094,0
2,18,0,4200,0,0.055076666,0
2,18,0,4500,0,0.054933313,0
2,18,0,4800,0,0.05477538,0
2,18,0,5100,0,0.05459077,0
2,18,0,5400,0,0.054367572,0
2,18,0,5700,0,0.05412965,0
2,18,0,6000,0,0.053876884,0
2,18,0,6300,0,0.053602755,0
2,18,0,6600,0,0.053313617,0
2,18,0,6900,0,0.053009346,0
2,18,0,7200,0,0.052834775,0
2,18,0,7500,0,0.05271514,0
2,18,0,7800,0,0.060653925,0
2,18,0,8100,0,0.06035689,0
2,18,0,8400,0,0.05993392,0
2,18,0,8700,0,0.059487607,0
2,18,0,9000,0,0.059017587,0
2,18,0,9300,0,0.05845472,0
2,18,0,9600,0,0.057868727,0
2,18,0,9900,0,0.057259265,0
2,18,0,10200,0,0.056670357,0
2,18,0,10500,0,0.05607808,0
2,18,0,10800,0,0.055459414,0
2,18,0,11100,0,0.054792367,0
2,18,0,11400,0,0.054056022,0
2,18,0,11700,0,0.05904131,0
2,18,0,12000,0,0.058025297,0
4,18,0,200,0,0.22426654,0
4,18,0,400,0,0.22426654,0
4,18,0,600,0,0.22426654,0
4,18,0,800,0,0.22426654,0
4,18,0,1000,0,0.22423881,0
4,18,0,1200,0,0.22419326,0
4,18,0,1400,0,0.22413506,0
4,18,0,1600,0,0.22406217,0
4,18,0,1800,0,0.22397313,0
4,18,0,2000,0,0.22386675,0
4,18,0,2200,0,0.22373319,0
4,18,0,2400,0,0.22358057,0
4,18,0,2600,0,0.22340827,0
4,18,0,2800,0,0.2232157,0
4,18,0,3000,0,0.22300236,0
4,18,0,3300,0,0.22265583,0
4,18,0,3600,0,0.22226028,0
4,18,0,3900,0,0.22181469,0
4,18,0,4200,0,0.22131807,0
4,18,0,4500,0,0.2207695,0
4,18,0,4800,0,0.22016823,0
4,18,0,5100,0,0.21952665,0
4,18,0,5400,0,0.21885699,0
4,18,0,5700,0,0.21813227,0
4,18,0,6000,0,0.2173519,0
4,18,0,6300,0,0.21639891,0
4,18,0,6600,0,0.21539003,0
4,18,0,6900,0,0.21432471,0
4,18,0,7200,0,0.21378036,0
4,18,0,7500,0,0.21346013,0
4,18,0,7800,0,0.21307248,0
4,18,0,8100,0,0.21244477,0
4,18,0,8400,0,0.21140857,0
4,18,0,8700,0,0.21030779,0
4,18,0,9000,0,0.22504158,0
4,18,0,9300,0,0.223319,0
4,18,0,9600,0,0.22152217,0
4,18,0,9900,0,0.21965024,0
4,18,0,10200,0,0.21787313,0
4,18,0,10500,0,0.21610063,0
4,18,0,10800,0,0.21424532,0
4,18,0,11100,0,0.21222308,0
4,18,0,11400,0,0.20995322,0
4,18,0,11700,0,0.2076021,0
4,18,0,12000,0,0.2177705,0
6,18,0,200,0,0.4758992,0
6,18,0,400,0,0.4758992,0
6,18,0,600,0,0.4758992,0
6,18,0,800,0,0.4758992,0
6,18,0,1000,0,0.47580215,0
6,18,0,1200,0,0.47575584,0
6,18,0,1400,0,0.47569796,0
6,18,0,1600,0,0.47562242,0
6,18,0,1800,0,0.4755249,0
6,18,0,2000,0,0.47540182,0
6,18,0,2200,0,0.47517473,0
6,18,0,2400,0,0.474917,0
6,18,0,2600,0,0.47462678,0
6,18,0,2800,0,0.4743024,0
6,18,0,3000,0,0.47394246,0
6,18,0,3300,0,0.4735876,0
6,18,0,3600,0,0.4731457,0
6,18,0,3900,0,0.4726135,0
6,18,0,4200,0,0.4717068,0
6,18,0,4500,0,0.4978899,0
6,18,0,4800,0,0.4965233,0
6,18,0,5100,0,0.49521497,0
6,18,0,5400,0,0.49412903,0
6,18,0,5700,0,0.49292716,0
6,18,0,6000,0,0.4916076,0
6,18,0,6300,0,0.4897007,0
6,18,0,6600,0,0.48767588,0
6,18,0,6900,0,0.4855316,0
6,18,0,7200,0,0.4845568,0
6,18,0,7500,0,0.48409063,0
6,18,0,7800,0,0.48348254,0
6,18,0,8100,0,0.48235956,0
6,18,0,8400,0,0.48035666,0
6,18,0,8700,0,0.47821596,0
