BallSpeed,VLA,HLA,BackSpin,SpinAxis,Carry,Offline
2,48,0,200,0,0.092068866,0
2,48,0,400,0,0.092068866,0
2,48,0,600,0,0.092068866,0
2,48,0,800,0,0.092068866,0
2,48,0,1000,0,0.09203411,0
2,48,0,1200,0,0.091930866,0
2,48,0,1400,0,0.09180097,0
2,48,0,1600,0,0.09164324,0
2,48,0,1800,0,0.091456786,0
2,48,0,2000,0,0.09124087,0
2,48,0,2200,0,0.09100213,0
2,48,0,2400,0,0.09073277,0
2,48,0,2600,0,0.090432316,0
2,48,0,2800,0,0.090100385,0
2,48,0,3000,0,0.089736596,0
2,48,0,3300,0,0.0890933,0
2,48,0,3600,0,0.088377215,0
2,48,0,3900,0,0.08758764,0
2,48,0,4200,0,0.086775765,0
2,48,0,4500,0,0.08591381,0
2,48,0,4800,0,0.08497493,0
2,48,0,5100,0,0.08394024,0
2,48,0,5400,0,0.08279183,0
2,48,0,5700,0,0.08156668,0
2,48,0,6000,0,0.0802646,0
2,48,0,6300,0,0.078876115,0
2,48,0,6600,0,0.07741101,0
2,48,0,6900,0,0.07586948,0
2,48,0,7200,0,0.07445605,0
2,48,0,7500,0,0.07305758,0
2,48,0,7800,0,0.07567064,0
2,48,0,8100,0,0.0738474,0
2,48,0,8400,0,0.07181114,0
2,48,0,8700,0,0.06969204,0
2,48,0,9000,0,0.06749222,0
2,48,0,9300,0,0.06513762,0
2,48,0,9600,0,0.06271348,0
2,48,0,9900,0,0.06293184,0
2,48,0,10200,0,0.06023403,0
2,48,0,10500,0,0.057499968,0
2,48,0,10800,0,0.056922473,0
2,48,0,11100,0,0.05387652,0
2,48,0,11400,0,0.052665614,0
2,48,0,11700,0,0.050948266,0
2,48,0,12000,0,0.051081177,0
4,48,0,200,0,0.36796823,0
4,48,0,400,0,0.36796823,0
4,48,0,600,0,0.36796823,0
4,48,0,800,0,0.36796823,0
4,48,0,1000,0,0.36785498,0
4,48,0,1200,0,0.36760733,0
4,48,0,1400,0,0.36728334,0
4,48,0,1600,0,0.36687455,0
4,48,0,1800,0,0.36637455,0
4,48,0,2000,0,0.36577824,0
4,48,0,2200,0,0.36506703,0
4,48,0,2400,0,0.3642519,0
4,48,0,2600,0,0.36333004,0
4,48,0,2800,0,0.36229876,0
4,48,0,3000,0,0.3611558,0
4,48,0,3300,0,0.35924911,0
4,48,0,3600,0,0.3570803,0
4,48,0,3900,0,0.3546443,0
4,48,0,4200,0,0.3519364,0
4,48,0,4500,0,0.3489526,0
4,48,0,4800,0,0.34568933,0
4,48,0,5100,0,0.34216386,0
4,48,0,5400,0,0.33839303,0
4,48,0,5700,0,0.33433306,0
4,48,0,6000,0,0.3299819,0
4,48,0,6300,0,0.32516316,0
4,48,0,6600,0,0.3200558,0
4,48,0,6900,0,0.31465954,0
4,48,0,7200,0,0.3098122,0
4,48,0,7500,0,0.30505645,0
4,48,0,7800,0,0.29996413,0
4,48,0,8100,0,0.29429683,0
4,48,0,8400,0,0.28783914,0
4,48,0,8700,0,0.28107965,0
4,48,0,9000,0,0.27402306,0
4,48,0,9300,0,0.27330735,0
