BallSpeed,VLA,HLA,BackSpin,SpinAxis,Carry,Offline
2,36,0,200,0,0.087490745,0
2,36,0,400,0,0.087490745,0
2,36,0,600,0,0.087490745,0
2,36,0,800,0,0.087490745,0
2,36,0,1000,0,0.08747063,0
2,36,0,1200,0,0.087404594,0
2,36,0,1400,0,0.08732184,0
2,36,0,1600,0,0.08722157,0
2,36,0,1800,0,0.087103166,0
2,36,0,2000,0,0.08696612,0
2,36,0,2200,0,0.08681693,0
2,36,0,2400,0,0.08664833,0
2,36,0,2600,0,0.08645999,0
2,36,0,2800,0,0.08625165,0
2,36,0,3000,0,0.08602304,0
2,36,0,3300,0,0.08560591,0
2,36,0,3600,0,0.08514235,0
2,36,0,3900,0,0.08463183,0
2,36,0,4200,0,0.084124066,0
2,36,0,4500,0,0.083592616,0
2,36,0,4800,0,0.08301162,0
2,36,0,5100,0,0.08236248,0
2,36,0,5400,0,0.08162724,0
2,36,0,5700,0,0.08084181,0
2,36,0,6000,0,0.08000572,0
2,36,0,6300,0,0.079109095,0
2,36,0,6600,0,0.08455609,0
2,36,0,6900,0,0.083394706,0
2,36,0,7200,0,0.08239932,0
2,36,0,7500,0,0.08144786,0
2,36,0,7800,0,0.080424406,0
2,36,0,8100,0,0.079260625,0
2,36,0,8400,0,0.07789313,0
2,36,0,8700,0,0.076457545,0
2,36,0,9000,0,0.07495299,0
2,36,0,9300,0,0.07329226,0
2,36,0,9600,0,0.07156461,0
2,36,0,9900,0,0.06976911,0
2,36,0,10200,0,0.07189201,0
2,36,0,10500,0,0.069784984,0
2,36,0,10800,0,0.067595236,0
2,36,0,11100,0,0.06529512,0
2,36,0,11400,0,0.06571186,0
2,36,0,11700,0,0.06292453,0
2,36,0,12000,0,0.062357444,0
4,36,0,200,0,0.34958124,0
4,36,0,400,0,0.34958124,0
4,36,0,600,0,0.34958124,0
4,36,0,800,0,0.34958124,0
4,36,0,1000,0,0.34950748,0
4,36,0,1200,0,0.34935853,0
4,36,0,1400,0,0.3491641,0
4,36,0,1600,0,0.34891808,0
4,36,0,1800,0,0.34861603,0
4,36,0,2000,0,0.34825432,0
4,36,0,2200,0,0.34781626,0
4,36,0,2400,0,0.34731323,0
4,36,0,2600,0,0.34674317,0
