BallSpeed,VLA,HLA,BackSpin,SpinAxis,Carry,Offline
2,20,0,200,0,0.06468927,0
2,20,0,400,0,0.06468927,0
2,20,0,600,0,0.06468927,0
2,20,0,800,0,0.06468927,0
2,20,0,1000,0,0.06468224,0
2,20,0,1200,0,0.06465317,0
2,20,0,1400,0,0.06461744,0
2,20,0,1600,0,0.06457468,0
2,20,0,1800,0,0.06452464,0
2,20,0,2000,0,0.064467125,0
2,20,0,2200,0,0.064407066,0
2,20,0,2400,0,0.06433921,0
2,20,0,2600,0,0.064263426,0
2,20,0,2800,0,0.064179614,0
2,20,0,3000,0,0.06408766,0
2,20,0,3300,0,0.06390761,0
2,20,0,3600,0,0.06370895,0
2,20,0,3900,0,0.06349149,0
2,20,0,4200,0,0.06329285,0
2,20,0,4500,0,0.0630936,0
2,20,0,4800,0,0.06287458,0
2,20,0,5100,0,0.06262186,0
2,20,0,5400,0,0.06232178,0
2,20,0,5700,0,0.06200171,0
2,20,0,6000,0,0.061661467,0
2,20,0,6300,0,0.06129357,0
2,20,0,6600,0,0.060905255,0
2,20,0,6900,0,0.060496353,0
2,20,0,7200,0,0.06023193,0
2,20,0,7500,0,0.060026243,0
2,20,0,7800,0,0.05979561,0
2,20,0,8100,0,0.059489217,0
2,20,0,8400,0,0.059057932,0
2,20,0,8700,0,0.058602877,0
2,20,0,9000,0,0.05812368,0
2,20,0,9300,0,0.057552252,0
2,20,0,9600,0,0.06387917,0
2,20,0,9900,0,0.06308499,0
2,20,0,10200,0,0.06230825,0
2,20,0,10500,0,0.06152223,0
2,20,0,10800,0,0.06070136,0
2,20,0,11100,0,0.059821386,0
2,20,0,11400,0,0.058859445,0
2,20,0,11700,0,0.057862002,0
2,20,0,12000,0,0.05682791,0
4,20,0,200,0,0.24003828,0
4,20,0,400,0,0.24003828,0
4,20,0,600,0,0.24003828,0
4,20,0,800,0,0.24003828,0
4,20,0,1000,0,0.24000688,0
4,20,0,1200,0,0.23995382,0
4,20,0,1400,0,0.2398858,0
4,20,0,1600,0,0.23980044,0
4,20,0,1800,0,0.23969604,0
4,20,0,2000,0,0.23957117,0
4,20,0,2200,0,0.23941527,0
4,20,0,2400,0,0.23923694,0
4,20,0,2600,0,0.2390354,0
4,20,0,2800,0,0.23881,0
4,20,0,3000,0,0.23856014,0
4,20,0,3300,0,0.23815267,0
4,20,0,3600,0,0.2376875,0
4,20,0,3900,0,0.23716336,0
4,20,0,4200,0,0.2365791,0
4,20,0,4500,0,0.23593363,0
4,20,0,4800,0,0.23522606,0
4,20,0,5100,0,0.2344695,0
4,20,0,5400,0,0.23367694,0
4,20,0,5700,0,0.23281944,0
4,20,0,6000,0,0.23189624,0
4,20,0,6300,0,0.23078257,0
4,20,0,6600,0,0.2296029,0
4,20,0,6900,0,0.22835658,0
4,20,0,7200,0,0.2276584,0
4,20,0,7500,0,0.22719137,0
4,20,0,7800,0,0.22664462,0
4,20,0,8100,0,0.24192998,0
4,20,0,8400,0,0.24046543,0
4,20,0,8700,0,0.23891266,0
4,20,0,9000,0,0.23727055,0
4,20,0,9300,0,0.23526104,0
4,20,0,9600,0,0.23316461,0
4,20,0,9900,0,0.23098023,0
4,20,0,10200,0,0.22888628,0
4,20,0,10500,0,0.2267873,0
4,20,0,10800,0,0.22459123,0
4,20,0,11100,0,0.22220972,0
4,20,0,11400,0,0.232237,0
4,20,0,11700,0,0.22910385,0
4,20,0,12000,0,0.22585955,0
6,20,0,200,0,0.52543145,0
6,20,0,400,0,0.52543145,0
6,20,0,600,0,0.52543145,0
6,20,0,800,0,0.52543145,0
6,20,0,1000,0,0.5253199,0
6,20,0,1200,0,0.525259,0
6,20,0,1400,0,0.5251834,0
6,20,0,1600,0,0.5250855,0
6,20,0,1800,0,0.52495986,0
6,20,0,2000,0,0.5248022,0
6,20,0,2200,0,0.52452534,0
6,20,0,2400,0,0.52421016,0
6,20,0,2600,0,0.5238543,0
6,20,0,2800,0,0.5234556,0
6,20,0,3000,0,0.5230124,0
6,20,0,3300,0,0.52254146,0
6,20,0,3600,0,0.5219617,0
6,20,0,3900,0,0.52126884,0
6,20,0,4200,0,0.5201491,0
6,20,0,4500,0,0.5187562,0
6,20,0,4800,0,0.517243,0
6,20,0,5100,0,0.51578194,0
6,20,0,5400,0,0.5145434,0
6,20,0,5700,0,0.51317495,0
6,20,0,6000,0,0.5116744,0
6,20,0,6300,0,0.53551,0
6,20,0,6600,0,0.533036,0
6,20,0,6900,0,0.53041387,0
6,20,0,7200,0,0.52905065,0
6,20,0,7500,0,0.52822244,0
6,20,0,7800,0,0.5272181,0
6,20,0,8100,0,0.52563065,0
6,20,0,8400,0,0.523063,0
6,20,0,8700,0,0.52032405,0
6,20,0,9000,0,0.51741135,0
6,20,0,9300,0,0.51371807,0
6,20,0,9600,0,0.50985503,0
6,20,0,9900,0,0.5058204,0
6,20,0,10200,0,0.5241927,0
6,20,0,10500,0,0.5199827,0
6,20,0,10800,0,0.5155647,0
6,20,0,11100,0,0.51073617,0
6,20,0,11400,0,0.5053026,0
6,20,0,11700,0,0.49966455,0
6,20,0,12000,0,0.4938191,0
8,20,0,200,0,0.9200425,0
8,20,0,400,0,0.9200425,0
8,20,0,600,0,0.9200425,0
8,20,0,800,0,0.9200425,0
8,20,0,1000,0,0.91974103,0
8,20,0,1200,0,0.91966826,0
8,20,0,1400,0,0.9195998,0
8,20,0,1600,0,0.91951823,0
8,20,0,1800,0,0.9194111,0
8,20,0,2000,0,0.91926825,0
8,20,0,2200,0,0.91882575,0
8,20,0,2400,0,0.91833323,0
8,20,0,2600,0,0.9177853,0
8,20,0,2800,0,0.9171774,0
8,20,0,3000,0,0.9165055,0
8,20,0,3300,0,0.9163001,0
8,20,0,3600,0,0.91593075,0
8,20,0,3900,0,0.9516311,0
8,20,0,4200,0,0.94969326,0
8,20,0,4500,0,0.94699186,0
8,20,0,4800,0,0.9440879,0
8,20,0,5100,0,0.94155824,0
8,20,0,5400,0,0.93997365,0
8,20,0,5700,0,0.93816316,0
8,20,0,6000,0,0.93612146,0
8,20,0,6300,0,0.9325644,0
8,20,0,6600,0,0.9287758,0
8,20,0,6900,0,0.92475194,0
8,20,0,7200,0,0.92290926,0
8,20,0,7500,0,0.9220083,0
8,20,0,7800,0,0.92082804,0
8,20,0,8100,0,0.9186934,0
8,20,0,8400,0,0.91494375,0
8,20,0,8700,0,0.9109187,0
8,20,0,9000,0,0.9389982,0
8,20,0,9300,0,0.9329225,0
8,20,0,9600,0,0.9265507,0
8,20,0,9900,0,0.91987914,0
8,20,0,10200,0,0.9136198,0
8,20,0,10500,0,0.9073966,0
8,20,0,10800,0,0.90084344,0
8,20,0,11100,0,0.8936061,0
8,20,0,11400,0,0.9135282,0
8,20,0,11700,0,0.90431076,0
8,20,0,12000,0,0.8947379,0
10,20,0,200,0,1.468523,0
