BallSpeed,VLA,HLA,BackSpin,SpinAxis,Carry,Offline
2,12,0,200,0,0.038487546,0
2,12,0,400,0,0.038487546,0
2,12,0,600,0,0.038487546,0
2,12,0,800,0,0.038487546,0
2,12,0,1000,0,0.038485635,0
2,12,0,1200,0,0.03847416,0
2,12,0,1400,0,0.038460515,0
2,12,0,1600,0,0.03844458,0
2,12,0,1800,0,0.038426273,0
2,12,0,2000,0,0.038405515,0
2,12,0,2200,0,0.03838532,0
2,12,0,2400,0,0.038362578,0
2,12,0,2600,0,0.038337253,0
2,12,0,2800,0,0.03830931,0
2,12,0,3000,0,0.038278714,0
2,12,0,3300,0,0.03821184,0
2,12,0,3600,0,0.038138915,0
2,12,0,3900,0,0.03805988,0
2,12,0,4200,0,0.03799738,0
2,12,0,4500,0,0.037939906,0
2,12,0,4800,0,0.037876036,0
2,12,0,5100,0,0.03779743,0
2,12,0,5400,0,0.037695836,0
2,12,0,5700,0,0.037587807,0
2,12,0,6000,0,0.03747329,0
2,12,0,6300,0,0.037347786,0
2,12,0,6600,0,0.037215743,0
2,12,0,6900,0,0.037077125,0
2,12,0,7200,0,0.045872692,0
2,12,0,7500,0,0.04583023,0
2,12,0,7800,0,0.045775544,0
2,12,0,8100,0,0.04566977,0
2,12,0,8400,0,0.045474906,0
2,12,0,8700,0,0.045268495,0
2,12,0,9000,0,0.045050386,0
2,12,0,9300,0,0.04476776,0
2,12,0,9600,0,0.04447382,0
2,12,0,9900,0,0.044168435,0
2,12,0,10200,0,0.043885853,0
2,12,0,10500,0,0.043608095,0
2,12,0,10800,0,0.043317627,0
2,12,0,11100,0,0.04299745,0
2,12,0,11400,0,0.0426311,0
2,12,0,11700,0,0.04225226,0
2,12,0,12000,0,0.0418607,0
4,12,0,200,0,0.1538162,0
4,12,0,400,0,0.1538162,0
4,12,0,600,0,0.1538162,0
4,12,0,800,0,0.1538162,0
4,12,0,1000,0,0.15380079,0
4,12,0,1200,0,0.15377875,0
4,12,0,1400,0,0.15375118,0
4,12,0,1600,0,0.15371715,0
4,12,0,1800,0,0.15367602,0
4,12,0,2000,0,0.15362722,0
4,12,0,2200,0,0.15356424,0
4,12,0,2400,0,0.15349285,0
4,12,0,2600,0,0.15341276,0
4,12,0,2800,0,0.15332372,0
4,12,0,3000,0,0.1532255,0
4,12,0,3300,0,0.1530697,0
4,12,0,3600,0,0.15289229,0
4,12,0,3900,0,0.15269278,0
4,12,0,4200,0,0.15247078,0
4,12,0,4500,0,0.15222588,0
4,12,0,4800,0,0.15195778,0
4,12,0,5100,0,0.15167525,0
4,12,0,5400,0,0.151387,0
4,12,0,5700,0,0.15107457,0
4,12,0,6000,0,0.15073773,0
4,12,0,6300,0,0.1502955,0
4,12,0,6600,0,0.1498288,0
4,12,0,6900,0,0.14933749,0
4,12,0,7200,0,0.14922474,0
4,12,0,7500,0,0.14928545,0
4,12,0,7800,0,0.1493168,0
4,12,0,8100,0,0.14919797,0
4,12,0,8400,0,0.1664931,0
4,12,0,8700,0,0.165945,0
4,12,0,9000,0,0.16536123,0
4,12,0,9300,0,0.16454785,0
4,12,0,9600,0,0.1637,0
4,12,0,9900,0,0.1628174,0
4,12,0,10200,0,0.1620267,0
4,12,0,10500,0,0.16126226,0
4,12,0,10800,0,0.16045976,0
4,12,0,11100,0,0.15955637,0
4,12,0,11400,0,0.15849099,0
4,12,0,11700,0,0.15738867,0
4,12,0,12000,0,0.15624906,0
6,12,0,200,0,0.3456669,0
6,12,0,400,0,0.3456669,0
6,12,0,600,0,0.3456669,0
6,12,0,800,0,0.3456669,0
6,12,0,1000,0,0.34560373,0
6,12,0,1200,0,0.34558588,0
6,12,0,1400,0,0.34556258,0
6,12,0,1600,0,0.34553075,0
6,12,0,1800,0,0.3454882,0
6,12,0,2000,0,0.34543315,0
6,12,0,2200,0,0.34530917,0
6,12,0,2400,0,0.3451702,0
6,12,0,2600,0,0.34501523,0
6,12,0,2800,0,0.34484342,0
6,12,0,3000,0,0.34465405,0
6,12,0,3300,0,0.34452093,0
6,12,0,3600,0,0.34434488,0
6,12,0,3900,0,0.34412438,0
6,12,0,4200,0,0.34365296,0
6,12,0,4500,0,0.34303263,0
6,12,0,4800,0,0.342365,0
6,12,0,5100,0,0.34176496,0
6,12,0,5400,0,0.34134665,0
6,12,0,5700,0,0.34087747,0
6,12,0,6000,0,0.34035665,0
6,12,0,6300,0,0.33945924,0
6,12,0,6600,0,0.33851022,0
6,12,0,6900,0,0.33750898,0
6,12,0,7200,0,0.3373533,0
6,12,0,7500,0,0.33758727,0
6,12,0,7800,0,0.33775946,0
6,12,0,8100,0,0.33760965,0
6,12,0,8400,0,0.33688113,0
6,12,0,8700,0,0.33609292,0
6,12,0,9000,0,0.36181343,0
6,12,0,9300,0,0.36028948,0
6,12,0,9600,0,0.35869676,0
6,12,0,9900,0,0.35703465,0
6,12,0,10200,0,0.35558116,0
6,12,0,10500,0,0.35419282,0
6,12,0,10800,0,0.35272866,0
6,12,0,11100,0,0.35105062,0
6,12,0,11400,0,0.34902385,0
6,12,0,11700,0,0.34692338,0
6,12,0,12000,0,0.34474856,0
8,12,0,200,0,0.6136229,0
8,12,0,400,0,0.6136229,0
8,12,0,600,0,0.6136229,0
8,12,0,800,0,0.6136229,0
8,12,0,1000,0,0.6134475,0
8,12,0,1200,0,0.6134467,0
8,12,0,1400,0,0.6134487,0
8,12,0,1600,0,0.6134462,0
8,12,0,1800,0,0.613434,0
8,12,0,2000,0,0.61340785,0
8,12,0,2200,0,0.6131936,0
8,12,0,2400,0,0.6129595,0
8,12,0,2600,0,0.61270314,0
8,12,0,2800,0,0.61242276,0
8,12,0,3000,0,0.6121167,0
8,12,0,3300,0,0.61222744,0
8,12,0,3600,0,0.6122722,0
8,12,0,3900,0,0.6122471,0
8,12,0,4200,0,0.6114201,0
8,12,0,4500,0,0.6101546,0
8,12,0,4800,0,0.6088135,0
8,12,0,5100,0,0.60777044,0
8,12,0,5400,0,0.6073967,0
