BallSpeed,VLA,HLA,BackSpin,SpinAxis,Carry,Offline
2,16,0,200,0,0.05672494,0
2,16,0,400,0,0.05672494,0
2,16,0,600,0,0.05672494,0
2,16,0,800,0,0.05672494,0
2,16,0,1000,0,0.056720056,0
2,16,0,1200,0,0.056697834,0
2,16,0,1400,0,0.05667075,0
2,16,0,1600,0,0.056638543,0
2,16,0,1800,0,0.056601025,0
2,16,0,2000,0,0.05655804,0
2,16,0,2200,0,0.056513965,0
2,16,0,2400,0,0.0564642,0
2,16,0,2600,0,0.05640865,0
2,16,0,2800,0,0.056347247,0
2,16,0,3000,0,0.056279916,0
2,16,0,3300,0,0.056144223,0
2,16,0,3600,0,0.055994973,0
2,16,0,3900,0,0.055832047,0
2,16,0,4200,0,0.055688567,0
2,16,0,4500,0,0.055547543,0
2,16,0,4800,0,0.055392146,0
2,16,0,5100,0,0.055210155,0
2,16,0,5400,0,0.054989517,0
2,16,0,5700,0,0.054754388,0
2,16,0,6000,0,0.05450464,0
2,16,0,6300,0,0.054233696,0
2,16,0,6600,0,0.05394798,0
2,16,0,6900,0,0.053647384,0
2,16,0,7200,0,0.053478517,0
2,16,0,7500,0,0.053365756,0
2,16,0,7800,0,0.053234998,0
2,16,0,8100,0,0.053041033,0
2,16,0,8400,0,0.052739885,0
2,16,0,8700,0,0.052421656,0
2,16,0,9000,0,0.05208611,0
2,16,0,9300,0,0.051672198,0
2,16,0,9600,0,0.051241457,0
2,16,0,9900,0,0.05079365,0
2,16,0,10200,0,0.05036801,0
2,16,0,10500,0,0.049943592,0
2,16,0,10800,0,0.04950011,0
2,16,0,11100,0,0.055688698,0
2,16,0,11400,0,0.05496492,0
2,16,0,11700,0,0.054215144,0
2,16,0,12000,0,0.053438686,0
4,16,0,200,0,0.20779668,0
4,16,0,400,0,0.20779668,0
4,16,0,600,0,0.20779668,0
4,16,0,800,0,0.20779668,0
4,16,0,1000,0,0.20777237,0
4,16,0,1200,0,0.2077337,0
4,16,0,1400,0,0.20768449,0
4,16,0,1600,0,0.207623,0
4,16,0,1800,0,0.207548,0
4,16,0,2000,0,0.20745848,0
4,16,0,2200,0,0.20734543,0
4,16,0,2400,0,0.20721644,0
4,16,0,2600,0,0.20707095,0
4,16,0,2800,0,0.2069085,0
4,16,0,3000,0,0.20672867,0
4,16,0,3300,0,0.2064379,0
4,16,0,3600,0,0.20610611,0
4,16,0,3900,0,0.20573245,0
4,16,0,4200,0,0.20531607,0
4,16,0,4500,0,0.20485625,0
4,16,0,4800,0,0.20435236,0
4,16,0,5100,0,0.20381595,0
4,16,0,5400,0,0.20325853,0
4,16,0,5700,0,0.20265508,0
4,16,0,6000,0,0.20200513,0
4,16,0,6300,0,0.20120005,0
4,16,0,6600,0,0.20034829,0
4,16,0,6900,0,0.19944945,0
4,16,0,7200,0,0.19904116,0
4,16,0,7500,0,0.19884783,0
4,16,0,7800,0,0.19859828,0
4,16,0,8100,0,0.19813167,0
4,16,0,8400,0,0.19729064,0
4,16,0,8700,0,0.19639583,0
4,16,0,9000,0,0.19544661,0
4,16,0,9300,0,0.19421381,0
4,16,0,9600,0,0.19292824,0
4,16,0,9900,0,0.1915894,0
4,16,0,10200,0,0.20575075,0
4,16,0,10500,0,0.2042764,0
4,16,0,10800,0,0.20273238,0
4,16,0,11100,0,0.2010392,0
4,16,0,11400,0,0.19912021,0
4,16,0,11700,0,0.19713305,0
4,16,0,12000,0,0.1950768,0
6,16,0,200,0,0.4527434,0
6,16,0,400,0,0.4527434,0
6,16,0,600,0,0.4527434,0
6,16,0,800,0,0.4527434,0
6,16,0,1000,0,0.4526535,0
6,16,0,1200,0,0.45261475,0
6,16,0,1400,0,0.45256594,0
6,16,0,1600,0,0.45250174,0
6,16,0,1800,0,0.45241827,0
6,16,0,2000,0,0.45231232,0
6,16,0,2200,0,0.45210946,0
6,16,0,2400,0,0.45187968,0
6,16,0,2600,0,0.45162132,0
6,16,0,2800,0,0.45133287,0
6,16,0,3000,0,0.4510131,0
6,16,0,3300,0,0.4507145,0
6,16,0,3600,0,0.45033926,0
6,16,0,3900,0,0.4498845,0
6,16,0,4200,0,0.44907987,0
6,16,0,4500,0,0.44805822,0
6,16,0,4800,0,0.44695204,0
6,16,0,5100,0,0.44591066,0
6,16,0,5400,0,0.44508225,0
6,16,0,5700,0,0.44416258,0
6,16,0,6000,0,0.44315028,0
6,16,0,6300,0,0.44162205,0
6,16,0,6600,0,0.4400011,0
6,16,0,6900,0,0.43828624,0
6,16,0,7200,0,0.43764177,0
6,16,0,7500,0,0.4374728,0
6,16,0,7800,0,0.43719235,0
6,16,0,8100,0,0.4364634,0
6,16,0,8400,0,0.43495503,0
6,16,0,8700,0,0.43333867,0
6,16,0,9000,0,0.43161285,0
6,16,0,9300,0,0.42927113,0
6,16,0,9600,0,0.45143214,0
6,16,0,9900,0,0.4485557,0
6,16,0,10200,0,0.44590592,0
6,16,0,10500,0,0.44330058,0
6,16,0,10800,0,0.4405619,0
6,16,0,11100,0,0.43751723,0
6,16,0,11400,0,0.43399918,0
6,16,0,11700,0,0.4303507,0
6,16,0,12000,0,0.42657027,0
8,16,0,200,0,0.75340116,0
8,16,0,400,0,0.75340116,0
8,16,0,600,0,0.75340116,0
8,16,0,800,0,0.75340116,0
8,16,0,1000,0,0.7907057,0
8,16,0,1200,0,0.7906722,0
8,16,0,1400,0,0.7906427,0
8,16,0,1600,0,0.7906048,0
8,16,0,1800,0,0.79054964,0
8,16,0,2000,0,0.79047,0
8,16,0,2200,0,0.7901401,0
8,16,0,2400,0,0.7897754,0
8,16,0,2600,0,0.7893721,0
8,16,0,2800,0,0.7889271,0
8,16,0,3000,0,0.78843737,0
8,16,0,3300,0,0.7884139,0
8,16,0,3600,0,0.7882757,0
8,16,0,3900,0,0.78801674,0
8,16,0,4200,0,0.78669316,0
8,16,0,4500,0,0.78477246,0
8,16,0,4800,0,0.78272057,0
8,16,0,5100,0,0.78101665,0
8,16,0,5400,0,0.7801362,0
8,16,0,5700,0,0.7791096,0
8,16,0,6000,0,0.77793336,0
8,16,0,6300,0,0.7755404,0
8,16,0,6600,0,0.772998,0
8,16,0,6900,0,0.77030355,0
8,16,0,7200,0,0.7694728,0
8,16,0,7500,0,0.7694778,0
8,16,0,7800,0,0.76930285,0
8,16,0,8100,0,0.7683847,0
8,16,0,8400,0,0.7661694,0
8,16,0,8700,0,0.76377726,0
8,16,0,9000,0,0.795402,0
8,16,0,9300,0,0.79141134,0
8,16,0,9600,0,0.78722787,0
8,16,0,9900,0,0.7828493,0
8,16,0,10200,0,0.77888376,0
8,16,0,10500,0,0.7750144,0
8,16,0,10800,0,0.77093107,0
8,16,0,11100,0,0.7663314,0
8,16,0,11400,0,0.7609213,0
8,16,0,11700,0,0.78554887,0
8,16,0,12000,0,0.77918345,0
10,16,0,200,0,1.2216886,0
10,16,0,400,0,1.2216886,0
10,16,0,600,0,1.2216886,0
10,16,0,800,0,1.2216886,0
10,16,0,1000,0,1.2211536,0
10,16,0,1200,0,1.2211057,0
10,16,0,1400,0,1.2210965,0
10,16,0,1600,0,1.2211024,0
10,16,0,1800,0,1.221106,0
10,16,0,2000,0,1.2210939,0
10,16,0,2200,0,1.2205687,0
10,16,0,2400,0,1.2200084,0
10,16,0,2600,0,1.2194053,0
10,16,0,2800,0,1.2187531,0
10,16,0,3000,0,1.2180467,0
10,16,0,3300,0,1.2186935,0
10,16,0,3600,0,1.2191919,0
10,16,0,3900,0,1.2195294,0
10,16,0,4200,0,1.2175193,0
10,16,0,4500,0,1.2142475,0
10,16,0,4800,0,1.2107959,0
10,16,0,5100,0,1.2082428,0
10,16,0,5400,0,1.2076594,0
10,16,0,5700,0,1.2068684,0
10,16,0,6000,0,1.2058641,0
10,16,0,6300,0,1.2024902,0
10,16,0,6600,0,1.1989022,0
10,16,0,6900,0,1.1950966,0
10,16,0,7200,0,1.1941519,0
10,16,0,7500,0,1.1945006,0
10,16,0,7800,0,1.1945912,0
10,16,0,8100,0,1.237719,0
10,16,0,8400,0,1.234546,0
10,16,0,8700,0,1.2310956,0
10,16,0,9000,0,1.2273636,0
10,16,0,9300,0,1.2219076,0
10,16,0,9600,0,1.216174,0
10,16,0,9900,0,1.2101592,0
10,16,0,10200,0,1.2048036,0
10,16,0,10500,0,1.1996186,0
10,16,0,10800,0,1.1941247,0
10,16,0,11100,0,1.2278494,0
10,16,0,11400,0,1.219788,0
10,16,0,11700,0,1.211398,0
10,16,0,12000,0,1.2026753,0
12,16,0,200,0,1.74449,0
12,16,0,400,0,1.74449,0
12,16,0,600,0,1.74449,0
12,16,0,800,0,1.74449,0
12,16,0,1000,0,1.7438201,0
12,16,0,1200,0,1.7437716,0
12,16,0,1400,0,1.7438248,0
12,16,0,1600,0,1.7439389,0
12,16,0,1800,0,1.7440844,0
12,16,0,2000,0,1.7442373,0
12,16,0,2200,0,1.7432698,0
12,16,0,2400,0,1.742277,0
12,16,0,2600,0,1.7412467,0
12,16,0,2800,0,1.740168,0
12,16,0,3000,0,1.7390323,0
12,16,0,3300,0,1.7400091,0
12,16,0,3600,0,1.7408134,0
12,16,0,3900,0,1.7414253,0
12,16,0,4200,0,1.7390637,0
12,16,0,4500,0,1.7351031,0
12,16,0,4800,0,1.7309146,0
12,16,0,5100,0,1.7277961,0
12,16,0,5400,0,1.7270393,0
12,16,0,5700,0,1.7260149,0
12,16,0,6000,0,1.7247127,0
12,16,0,6300,0,1.7206626,0
12,16,0,6600,0,1.7163289,0
12,16,0,6900,0,1.7117046,0
12,16,0,7200,0,1.7645148,0
12,16,0,7500,0,1.7652615,0
12,16,0,7800,0,1.7656429,0
12,16,0,8100,0,1.7645041,0
12,16,0,8400,0,1.7607055,0
12,16,0,8700,0,1.7565382,0
12,16,0,9000,0,1.7519954,0
12,16,0,9300,0,1.7450176,0
12,16,0,9600,0,1.7376679,0
12,16,0,9900,0,1.7299409,0
12,16,0,10200,0,1.7734904,0
12,16,0,10500,0,1.7665327,0
12,16,0,10800,0,1.7591331,0
12,16,0,11100,0,1.7506006,0
12,16,0,11400,0,1.7402598,0
12,16,0,11700,0,1.72948,0
12,16,0,12000,0,1.7182553,0
14,16,0,200,0,2.3583522,0
14,16,0,400,0,2.3583522,0
14,16,0,600,0,2.3583522,0
14,16,0,800,0,2.3583522,0
14,16,0,1000,0,2.3575432,0
14,16,0,1200,0,2.357444,0
14,16,0,1400,0,2.3575444,0
14,16,0,1600,0,2.3577802,0
14,16,0,1800,0,2.3581042,0
14,16,0,2000,0,2.35848,0
14,16,0,2200,0,2.356815,0
14,16,0,2400,0,2.3551502,0
14,16,0,2600,0,2.3534658,0
14,16,0,2800,0,2.3517444,0
14,16,0,3000,0,2.3499727,0
14,16,0,3300,0,2.3512661,0
14,16,0,3600,0,2.3523784,0
14,16,0,3900,0,2.353279,0
14,16,0,4200,0,2.3506722,0
14,16,0,4500,0,2.3461778,0
14,16,0,4800,0,2.3414128,0
14,16,0,5100,0,2.3378048,0
14,16,0,5400,0,2.3367758,0
14,16,0,5700,0,2.3354201,0
14,16,0,6000,0,2.3972576,0
14,16,0,6300,0,2.3924809,0
14,16,0,6600,0,2.3873296,0
14,16,0,6900,0,2.3817933,0
14,16,0,7200,0,2.381059,0
14,16,0,7500,0,2.3824878,0
14,16,0,7800,0,2.383461,0
14,16,0,8100,0,2.3825133,0
14,16,0,8400,0,2.378196,0
14,16,0,8700,0,2.3734133,0
14,16,0,9000,0,2.3681557,0
14,16,0,9300,0,2.4202983,0
14,16,0,9600,0,2.4108295,0
14,16,0,9900,0,2.4008539,0
14,16,0,10200,0,2.3922372,0
14,16,0,10500,0,2.3840125,0
14,16,0,10800,0,2.375228,0
14,16,0,11100,0,2.3649502,0
14,16,0,11400,0,2.4089978,0
14,16,0,11700,0,2.3950603,0
14,16,0,12000,0,2.3805246,0
16,16,0,200,0,3.0623581,0
16,16,0,400,0,3.0623581,0
16,16,0,600,0,3.0623581,0
16,16,0,800,0,3.0623581,0
16,16,0,1000,0,3.0613987,0
16,16,0,1200,0,3.061159,0
16,16,0,1400,0,3.0612583,0
16,16,0,1600,0,3.0616033,0
16,16,0,1800,0,3.062122,0
16,16,0,2000,0,3.062761,0
16,16,0,2200,0,3.0600684,0
16,16,0,2400,0,3.0574198,0
16,16,0,2600,0,3.0547853,0
16,16,0,2800,0,3.0521407,0
16,16,0,3000,0,3.0494645,0
16,16,0,3300,0,3.0510025,0
16,16,0,3600,0,3.0523713,0
16,16,0,3900,0,3.053527,0
16,16,0,4200,0,3.1240573,0
16,16,0,4500,0,3.1190586,0
16,16,0,4800,0,3.113742,0
16,16,0,5100,0,3.1095698,0
16,16,0,5400,0,3.1079965,0
16,16,0,5700,0,3.1060266,0
16,16,0,6000,0,3.1036398,0
16,16,0,6300,0,3.0986006,0
16,16,0,6600,0,3.0931156,0
16,16,0,6900,0,3.0871708,0
16,16,0,7200,0,3.0868747,0
16,16,0,7500,0,3.089119,0
16,16,0,7800,0,3.1619925,0
16,16,0,8100,0,3.1611707,0
16,16,0,8400,0,3.1561553,0
16,16,0,8700,0,3.1505477,0
16,16,0,9000,0,3.1443353,0
16,16,0,9300,0,3.133817,0
16,16,0,9600,0,3.122692,0
16,16,0,9900,0,3.1109498,0
16,16,0,10200,0,3.1688442,0
16,16,0,10500,0,3.1589372,0
16,16,0,10800,0,3.1483142,0
16,16,0,11100,0,3.1357362,0
16,16,0,11400,0,3.1199892,0
16,16,0,11700,0,3.1035225,0
16,16,0,12000,0,3.1500633,0
18,16,0,200,0,3.8555236,0
18,16,0,400,0,3.8555236,0
18,16,0,600,0,3.8555236,0
18,16,0,800,0,3.8555236,0
18,16,0,1000,0,3.854394,0
18,16,0,1200,0,3.853877,0
18,16,0,1400,0,3.8538907,0
18,16,0,1600,0,3.8542998,0
18,16,0,1800,0,3.8550029,0
18,16,0,2000,0,3.8559234,0
18,16,0,2200,0,3.8517923,0
18,16,0,2400,0,3.930142,0
